ΕΠΑΡΧΙΑ,ΘΕΜΑ,ΕΠΙΠΕΔΟ,ΚΕΝΤΡΟΕΠΙΜΟΡΦΩΣΗΣ,ΩΡΑΔΙΕΞΑΓΩΓΗΣ,ΗΜΕΡΑΔΙΕΞΑΓΩΓΗΣ
ΛΕΜΕΣΟΣ,ΜΟΥΣΙΚΟ ΟΡΓΑΝΟ – ΜΠΟΥΖΟΥΚΙ,Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΚΒ' - ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,19.30-21.00,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΝΟΗΜΑΤΙΚΗ ΓΛΩΣΣΑ,Α,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,18.30-20.00,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΝΟΗΜΑΤΙΚΗ ΓΛΩΣΣΑ,Β,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,17.00-18.30,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΝΟΗΜΑΤΙΚΗ ΓΛΩΣΣΑ,Γ,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,18.30-20.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΞΥΛΟΓΛΥΠΤΙΚΗ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΜΕΣΟΥ,19.00-20.30,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΞΥΛΟΓΛΥΠΤΙΚΗ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΜΕΣΟΥ,19.00-20.30,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΞΥΛΟΓΛΥΠΤΙΚΗ,Α+Β,ΚΟΙΝΟΤΙΚΟΣ ΧΩΡΟΣ ΛΑΝΙΑΣ,15.00-16.30,ΠΑΡΑΣΚΕΥΗ
ΛΕΜΕΣΟΣ,ΞΥΛΟΓΛΥΠΤΙΚΗ,Β,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΜΕΣΟΥ,17.30-19.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΞΥΛΟΓΛΥΠΤΙΚΗ,Γ,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΜΕΣΟΥ,17.30-19.00,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΞΥΛΟΥΡΓΙΚΗ,Α,Β΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΓΡΗΓΟΡΗ ΑΥΞΕΝΤΙΟΥ ΛΕΜΕΣΟΥ,18.00-19.30,ΤΡΙΤΗ
ΛΕΜΕΣΟΣ,ΞΥΛΟΥΡΓΙΚΗ,Β,Β΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΓΡΗΓΟΡΗ ΑΥΞΕΝΤΙΟΥ ΛΕΜΕΣΟΥ,19.30-21.00,ΤΡΙΤΗ
